# TemizWeb DNS
0.0.0.0 4everproxy.com
0.0.0.0 adult-example.test
0.0.0.0 amnezia.org
0.0.0.0 croxyproxy.com
0.0.0.0 cyberghostvpn.com
0.0.0.0 expressvpn.com
0.0.0.0 getoutline.org
0.0.0.0 hentai-example.test
0.0.0.0 hiddify.com
0.0.0.0 hide.me
0.0.0.0 hotspotshield.com
0.0.0.0 kproxy.com
0.0.0.0 lantern.io
0.0.0.0 mullvad.net
0.0.0.0 nordvpn.com
0.0.0.0 privateinternetaccess.com
0.0.0.0 protonvpn.com
0.0.0.0 proxysite.com
0.0.0.0 psiphon.ca
0.0.0.0 psiphon3.com
0.0.0.0 shadowsocks.org
0.0.0.0 surfshark.com
0.0.0.0 torproject.org
0.0.0.0 tunnelbear.com
0.0.0.0 ultrasurf.us
0.0.0.0 urban-vpn.com
0.0.0.0 v2fly.org
0.0.0.0 vpnbook.com
0.0.0.0 windscribe.com
